Timestamp	Black closed infinity, rainbow background	Black open infinity, rainbow background	The Autistic Rights Flag (green-red-purple, yellow infinity)	Gold infinity, white background (variable width)	Gold infinity, white background (fixed width)	Aufinity symbol, white background	Autism Spectrum Nautilus, white background	Rainbow infinity made of dots, white background	ROYLG striped infinity, white background	Autistic Pride Day (Australia), gradient concentric infinities	Concentric ROYLG, white background	Concentric disability pride, white background	Concentric ROYLG, grey background	Gold infinity, disability pride background	Autism spectrum nautilus, disability pride stripe background	Autistic Pun Flag	Teal aesthetic, diagonal stripes	Red infinity, teal aesthetic, diagonal stripes	Red infinity, teal background	Red infinity, red and white background	Red infinity, white and gold background	Red infinity, ROYLG background	Rainbow infinity, ROYLG background	Rainbow infinity, diagonal ROYLG background	Nautilus, diagonal ROYLG background	Aufinity, white circle, ROYLG background	Aufinity, Teal background	The Autistic Pride London Flag (purple-green, gold starburst, rainbow infinity)	Rainbow gradient infinity loop, gold background	Rainbow segmented infinity loop, gold background	Rainbow segmented infinity loop with white dividers, gold background	Rainbow infinity, diagonal rainbow stripe background	Vertical rainbow background (without blue)	Gold infinity, vertical rainbow background (no blue)	Gold infinity, vertical rainbow background (no blue, has browns)	Yellow infinity on red-green-blue background	Gold infinity, soft pastel background	The Mint Flag	Off-kilter rainbow infinity, red black and teal background	Rainbow dragon, black background	The Wreath Flag (red-gold-blue with white circle)	Gold infinity, disability grey background	Autism spectrum nautilus, disability grey background	Rainbow infinity, Teal background	Rainbow infinity, white circle, ROYLG background	Gold infinity on white with horizontal red bars	Black infinity on red, yellow, and green	Nine horizontal stripes design (red to white to green)	Black infinity on red, yellow, and green; seven stripes	Red infinity on white circle with teal aesthetic	Red open infinity with teal aesthetic	Simplified nautilus (7 segments) on grey	Diagonal ROYLG stripes	8-segment nautilus on grey	Yellow sun on red and purple	Stained glass theme with black lines	Purple face on gold, with solid gold infinity	Autistic Liberation Flag	7-segment nautilus on disability pride stripes	Black open infinity on diagonal rainbow stripes	Diagonal ROYLG stripes	Red open infinity on white circle with teal aesthetic	Rainbow infinity, ROYLG background
7/16/2025 15:27:58	2	5	4	2	2	2	5	2	3	1	5	5	5	2	3	5	3	3	5	3	1	3	2	2	4	2	2	1	1	1	1	1	3	1	1	2	2	2	1	1	1	2	4	2	2	3	2	2	2	5	3	5	5	5	4	1	1	1	5	5			
7/16/2025 15:54:31	1	4	3	5	5	5	5	1	1	1	5	5	5	3	3	3	3	4	3	2	2	3	2	4	4	5	4	1	1	1	1	1	1	1	1	1	1	1	1	3	2	5	5	3	5	2	1	2	1	5	3	5	5	5	3	2	1	1	5	3			
7/14/2025 17:34:00	1	2	2	3	2	5	5	4	2	4	4	4	4	3	5	5	5	1	1	2	1	3	2	2	5	5	5	2	2	2	2	2	5	2	2	2	1	1	2	5	1	2	5	2	2	2	1	5	1	2	2	5	5	5	1	4	1	1	5	2			
7/6/2025 18:13:53	3	4	4	3	3	4	2	4	3	3	3	2	2	3	4	2	3	2	3	2	2	3	3	2	3	4	2	3	2	3	3	4	2	4	3	3	2	2	4	3	2	3	3	3	3																		
7/6/2025 18:49:50	5	5	4		3		4			4	3		4	3		5				4		3			4	3		3		1	2	1	4	2										2																			
7/14/2025 18:51:20	2	2	2	2	2	3	2	1	2	4	3	3	3	3	3	2	2	2	1	2	1	2	2	3	3	4	3	1	3	2	2	1	2	1	1	1	2	2	2	3	1	2	3	2	3	2	2	3	2	3	2	3	3	3	3	3	2	1	3	2			
7/6/2025 18:55:06	2	2	4	1	2	1	4	1	3	1	2	2	3	4	5	1	1	1	1	1	1	4	4	4	4	1	1	1	3	3	3	1	1	1	1	1	1	1	1	1	3	4	4	1	2																		
7/6/2025 18:56:03	1	1	1	1	4	1	1	1	1	1	1	1	2	1	1	5	3	1	1	1	1	1	1	1	1	1	1	1	1		1	1	3	1	1	1	3	1	1	1	1	2	1	1	1																		
7/6/2025 18:57:16	4	5	1	1	1	1	3	1	1	3	2	4	2	2	2	2	3	4	4	3	1	5	5	2	1	4	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	5	4																		
7/6/2025 18:58:41	2	2	1	2	1	1	4	2	2	1	2	4	4	2	4	4	3	3	2	4	2	2	3	3	5	1	1	1	5	2	4	1	2	1	2	1	2	1	2	5	1	1	4	2	2																		
